Kanji,Grade,Frequency of use
昌,8,1372
朋,8,2039
肴,8,-1
杭,8,2329
杵,8,2355
杷,8,-1
枇,8,-1
欣,8,2071
沓,8,-1
爭,8,-1
祇,8,2169
穹,8,-1
竺,8,-1
亮,8,1821
俄,8,-1
俣,8,1585
俐,8,-1
勁,8,-1
哉,8,-1
奎,8,-1
娃,8,-1
姪,8,-1
姥,8,-1
宥,8,-1
巷,8,2415
廻,8,-1
彦,8,1117
恢,8,-1
恰,8,-1
恆,8,-1
按,8,-1
洸,8,2430
洲,8,1979
洵,8,-1
洛,8,2302
茸,8,-1
茜,8,2422
郁,8,1920
拜,8,-1
昴,8,-1
胤,8,-1
胡,8,1995
柑,8,-1
柘,8,-1
柊,8,-1
柏,8,1606
柾,8,-1
柚,8,2489
殆,8,-1
毘,8,-1
珂,8,2227
珈,8,-1
珊,8,-1
珀,8,-1
玲,8,1931
祢,8,-1
祐,8,1706
盃,8,-1
穿,8,-1
衿,8,-1
竿,8,2416
籾,8,-1
耶,8,-1
臥,8,-1
頁,8,-1
乘,8,-1
倭,8,2098
倶,8,1842
倖,8,-1
凌,8,2423
凉,8,-1
卿,8,2138
哨,8,1999
啄,8,2463
哩,8,-1
圃,8,-1
套,8,-1
屑,8,-1
峨,8,2234
峻,8,1997
峽,8,-1
峯,8,2079
悌,8,2474
挺,8,2189
浩,8,1149
浬,8,-1
狼,8,2129
狹,8,-1
莞,8,-1
荻,8,1630
莫,8,-1
莉,8,-1
莱,8,-1
莊,8,-1
這,8,-1
逗,8,2027
逢,8,2116
恕,8,-1
晏,8,-1
晃,8,1666
晄,8,-1
晒,8,-1
晋,8,1655
晦,8,-1
朔,8,2318
柴,8,1638
桧,8,2056
栞,8,-1
桔,8,-1
桂,8,1651
栖,8,-1
桐,8,1668
栗,8,1550
氣,8,-1
烏,8,2042
畠,8,1860
眞,8,2359
矩,8,2380
砥,8,-1
砧,8,-1
祕,8,-1
秦,8,1894
秤,8,-1
窄,8,-1
笈,8,-1
紘,8,1685
紗,8,-1
紐,8,-1
耽,8,-1
訊,8,-1
豹,8,-1
赳,8,2114
釘,8,2496
閃,8,-1
隼,8,2224
倦,8,-1
偲,8,2350
兜,8,2034
冨,8,1906
凰,8,-1
厩,8,-1
圈,8,-1
國,8,-1
埴,8,2150
堵,8,-1
埜,8,-1
娩,8,-1
寅,8,1975
將,8,-1
專,8,-1
崚,8,-1
帶,8,-1
庵,8,2119
彗,8,2294
彪,8,2397
彬,8,2174
徠,8,-1
從,8,-1
惟,8,2246
惚,8,2486
惇,8,2265
挽,8,-1
掬,8,-1
捷,8,-1
捺,8,-1
捧,8,2286
掠,8,-1
掴,8,-1
淵,8,1593
淳,8,1629
渚,8,2226
淀,8,1987
淋,8,-1
淨,8,-1
猪,8,1684
菅,8,1562
菫,8,-1
菖,8,-1
萄,8,-1
菩,8,2086
萌,8,2346
萠,8,-1
菱,8,1229
陷,8,-1
悉,8,-1
敍,8,-1
晟,8,-1
晨,8,-1
晝,8,-1
脩,8,2267
梧,8,-1
梓,8,2301
梢,8,-1
梛,8,-1
梯,8,2218
桶,8,2210
梶,8,1355
椛,8,-1
梁,8,2017
條,8,-1
毬,8,2431
焔,8,-1
牽,8,-1
逞,8,-1
琢,8,2022
琉,8,2036
祷,8,-1
畢,8,-1
皐,8,2240
眸,8,-1
砦,8,2304
袴,8,2175
笹,8,1743
笙,8,-1
笠,8,1499
絃,8,-1
紬,8,-1
絆,8,2220
羚,8,-1
舵,8,2225
袈,8,-1
訣,8,-1
釧,8,1751
雀,8,1856
雫,8,2219
凱,8,2293
剩,8,-1
厨,8,2425
喬,8,1962
喧,8,2249
喰,8,-1
喋,8,2403
單,8,-1
堯,8,-1
堰,8,1913
堺,8,1846
寓,8,2330
巽,8,2061
惺,8,-1
捲,8,-1
揃,8,2412
搜,8,2394
渥,8,2257
湘,8,1909
湊,8,2222
湛,8,2183
葦,8,2343
葵,8,2122
萱,8,2217
葺,8,-1
萩,8,1544
董,8,-1
葡,8,-1
萬,8,2125
遥,8,2376
遁,8,-1
隈,8,2311
惹,8,-1
惣,8,2211
惡,8,-1
惠,8,-1
戟,8,-1
敦,8,1695
斐,8,2103
斯,8,-1
智,8,1002
曾,8,-1
脹,8,-1
腔,8,-1
棲,8,-1
椋,8,-1
椀,8,-1
欽,8,2181
盜,8,-1
焚,8,-1
煉,8,-1
爲,8,-1
犀,8,2426
瑛,8,2393
琥,8,-1
琶,8,1966
琵,8,1965
琳,8,-1
禄,8,2126
甥,8,-1
疏,8,-1
皓,8,2428
硯,8,2500
稀,8,2232
竣,8,-1
裡,8,-1
筈,8,-1
筑,8,1530
粥,8,2280
粟,8,2146
絢,8,2315
翔,8,1936
註,8,-1
貰,8,2441
釉,8,-1
舜,8,2384
閏,8,-1
雁,8,2192
傭,8,-1
傳,8,-1
嘩,8,-1
圓,8,-1
塙,8,2340
奧,8,-1
嵯,8,2191
嵩,8,-1
幌,8,1309
愼,8,-1
搖,8,-1
溢,8,2405
滉,8,-1
溜,8,2451
漣,8,-1
獅,8,1914
蓑,8,-1
蒔,8,2368
蒐,8,-1
蒼,8,2276
蒲,8,1887
蒙,8,2360
蓉,8,-1
蓮,8,1839
蒋,8,2251
蓬,8,-1
暉,8,2285
楯,8,-1
楚,8,-1
楕,8,2476
椿,8,1829
楠,8,1927
楓,8,-1
椰,8,-1
楢,8,2032
楊,8,1815
榊,8,2094
槌,8,2462
煌,8,-1
煤,8,-1
牒,8,-1
瑚,8,-1
瑞,8,1873
瑶,8,-1
禎,8,2083
碓,8,2364
碗,8,-1
碎,8,-1
祿,8,-1
禽,8,-1
稔,8,1775
稟,8,-1
稜,8,2091
裟,8,-1
裝,8,-1
詢,8,-1
詫,8,2481
跨,8,-1
靖,8,1390
頌,8,-1
馴,8,-1
馳,8,-1
鳩,8,1637
鼎,8,-1
僞,8,-1
嘉,8,1553
嘗,8,-1
噌,8,-1
團,8,-1
壽,8,-1
奬,8,-1
實,8,-1
寢,8,-1
嶋,8,1633
摺,8,-1
漱,8,2054
漕,8,2354
滯,8,-1
蔭,8,2166
蔦,8,2215
蔓,8,-1
斡,8,-1
暢,8,2144
膏,8,-1
榎,8,1945
樺,8,1982
榛,8,2205
槙,8,1983
槇,8,-1
槍,8,2261
樋,8,1814
榮,8,-1
熙,8,-1
爾,8,-1
遙,8,-1
瑳,8,-1
盡,8,-1
碩,8,-1
碧,8,2455
窪,8,1853
竪,8,2370
箕,8,2023
箔,8,-1
粹,8,-1
綺,8,2413
綜,8,2194
綴,8,2149
緋,8,2443
綾,8,1759
綸,8,-1
翠,8,2200
聡,8,1507
肇,8,1943
與,8,-1
蝋,8,-1
裳,8,-1
賑,8,-1
輔,8,1898
銑,8,-1
閤,8,-1
鞄,8,-1
頗,8,-1
颯,8,-1
魁,8,2108
鳶,8,-1
鳳,8,2163
齊,8,-1
價,8,-1
儉,8,-1
凜,8,-1
凛,8,-1
劉,8,1947
劍,8,-1
噂,8,2298
嬉,8,2274
幡,8,1948
廟,8,2101
廣,8,2487
彈,8,-1
憐,8,-1
撒,8,-1
撰,8,-1
撞,8,-1
播,8,2204
撫,8,2402
澁,8,-1
蕎,8,-1
蕨,8,2307
蕉,8,2033
蕃,8,2361
蕪,8,-1
遼,8,2050
鄭,8,1732
慧,8,2168
槻,8,2008
樟,8,2252
樂,8,-1
樣,8,-1
歎,8,-1
毅,8,1770
磐,8,1701
稻,8,-1
篇,8,2076
箪,8,-1
糊,8,-1
蝦,8,2501
蝶,8,2011
蝉,8,-1
誼,8,-1
諏,8,1949
諄,8,-1
諒,8,-1
賣,8,-1
醇,8,-1
醉,8,-1
鋒,8,-1
鞍,8,2214
駕,8,-1
駈,8,-1
髮,8,-1
魯,8,2153
鴎,8,2187
黎,8,2335
勳,8,-1
叡,8,-1
徽,8,-1
澪,8,-1
薙,8,-1
蕾,8,-1
蕗,8,-1
薗,8,-1
險,8,-1
戰,8,-1
曉,8,-1
樫,8,2297
橘,8,2053
樽,8,1981
橙,8,-1
燎,8,-1
燒,8,-1
燈,8,2456
燕,8,2147
窺,8,-1
瓢,8,-1
篠,8,1556
縞,8,2491
縣,8,-1
衞,8,-1
謂,8,-1
諺,8,-1
豬,8,-1
蹄,8,2469
輯,8,-1
醐,8,-1
醍,8,2303
錘,8,-1
鋸,8,-1
錐,8,-1
錆,8,-1
錫,8,2095
靜,8,-1
鞘,8,-1
鮎,8,2201
鴨,8,1797
黛,8,2254
默,8,-1
龍,8,1734
儲,8,2442
壕,8,2273
嶺,8,1959
彌,8,-1
擢,8,-1
濡,8,2260
濕,8,-1
藁,8,2488
薩,8,1984
應,8,-1
戲,8,-1
曙,8,1518
檜,8,2090
檎,8,-1
檀,8,2291
櫛,8,2256
檢,8,-1
燦,8,-1
燭,8,-1
瞥,8,-1
磯,8,1444
禪,8,-1
穗,8,-1
襖,8,-1
繋,8,-1
繍,8,-1
縱,8,-1
螺,8,-1
謠,8,-1
輿,8,-1
醤,8,2485
鍬,8,-1
霞,8,1603
鞠,8,-1
駿,8,1817
鴻,8,2111
叢,8,2436
壘,8,-1
藝,8,2065
藏,8,2407
藥,8,-1
櫂,8,-1
燿,8,-1
禰,8,-1
禮,8,-1
穣,8,2464
蹟,8,-1
轉,8,-1
鎧,8,-1
鎭,8,-1
雛,8,2241
雜,8,-1
鞭,8,-1
鯉,8,2369
鵜,8,2118
麿,8,-1
壞,8,-1
寵,8,-1
懷,8,-1
瀧,8,-1
蘇,8,1968
蘭,8,1886
曝,8,-1
櫓,8,-1
獸,8,-1
簾,8,-1
蟹,8,2417
顛,8,-1
鯛,8,2446
鵬,8,1707
麒,8,-1
嚴,8,-1
孃,8,-1
耀,8,2253
巌,8,1986
瀕,8,2367
纂,8,-1
饗,8,2347
馨,8,2164
騷,8,-1
攝,8,-1
灘,8,1912
櫻,8,-1
纏,8,-1
轟,8,2438
飜,8,-1
鰯,8,-1
鷄,8,-1
臟,8,-1
疊,8,-1
穰,8,-1
聽,8,-1
覽,8,-1
讃,8,2179
鑄,8,-1
驍,8,-1
巖,8,-1
纖,8,-1
顯,8,-1
驗,8,-1
鱒,8,2482
鱗,8,2494
鷲,8,1925
麟,8,-1
讓,8,-1
釀,8,-1
鷺,8,2172
鷹,8,1676
廳,8,-1
