Kanji,Grade,Frequency of use
忌,7,1882
忍,7,1700
戒,7,1062
戻,7,890
攻,7,532
更,7,861
肘,7,-1
肝,7,1118
肖,7,1889
杉,7,1095
秀,7,848
辛,7,1607
享,7,1893
依,7,906
佳,7,1643
侍,7,1939
侮,7,2004
併,7,966
免,7,1080
刹,7,-1
刺,7,1031
到,7,1032
劾,7,2085
卓,7,1348
叔,7,1950
呪,7,2131
坪,7,1823
奈,7,841
奇,7,1367
奉,7,1624
奔,7,1884
妬,7,-1
姓,7,1628
宛,7,-1
宜,7,1766
尚,7,1531
屈,7,1434
岡,7,463
岳,7,1334
岬,7,1972
弥,7,1687
弦,7,1773
征,7,1578
彼,7,648
怪,7,1634
怖,7,1325
拉,7,-1
押,7,789
拐,7,1498
拒,7,863
拠,7,858
拘,7,1336
拙,7,1938
拓,7,1526
抽,7,1437
抵,7,1182
拍,7,1373
披,7,1438
抱,7,871
抹,7,2006
況,7,490
沼,7,1467
泥,7,1589
泊,7,1233
泌,7,2112
沸,7,1709
泡,7,1872
狙,7,745
苛,7,-1
茎,7,2013
苗,7,1713
茂,7,1188
迭,7,1907
迫,7,773
邪,7,1612
邸,7,905
阻,7,1280
附,7,2396
房,7,808
旺,7,2342
昆,7,1688
昇,7,826
股,7,2212
肩,7,1215
肯,7,1813
肢,7,2289
肪,7,1878
枕,7,2084
枢,7,1791
析,7,980
杯,7,1235
枠,7,922
欧,7,421
殴,7,1622
炎,7,1242
炊,7,1777
炉,7,1359
采,7,-1
玩,7,2216
祈,7,1462
祉,7,1063
盲,7,1767
突,7,521
虎,7,1653
阜,7,1532
斉,7,1209
亭,7,1627
侶,7,-1
侯,7,2363
俊,7,1007
侵,7,1025
促,7,998
俗,7,1610
冠,7,1503
削,7,814
勃,7,-1
勅,7,2157
卑,7,2003
卸,7,1520
厘,7,1835
叙,7,1954
咽,7,-1
哀,7,1715
咲,7,1534
垣,7,1539
契,7,898
威,7,1103
姻,7,1985
孤,7,1239
封,7,1143
峡,7,1833
峠,7,1941
帥,7,2016
帝,7,1276
幽,7,1996
弧,7,2371
悔,7,1460
恒,7,1314
恨,7,1877
拶,7,-1
拭,7,2421
括,7,1026
挟,7,1870
拷,7,2057
挑,7,989
洪,7,1778
浄,7,1383
津,7,1036
洞,7,1618
狭,7,1346
狩,7,1785
茨,7,1203
荒,7,1099
荘,7,1489
逃,7,931
郊,7,1304
郎,7,569
怨,7,2137
怠,7,1703
怒,7,1221
施,7,323
昧,7,-1
是,7,1045
胎,7,1861
胆,7,1449
胞,7,1379
柿,7,1745
柵,7,-1
栃,7,1427
架,7,1555
枯,7,1749
柔,7,1187
柄,7,1140
某,7,2106
柳,7,1169
為,7,831
牲,7,1274
珍,7,1330
甚,7,1961
畏,7,2389
疫,7,1661
皆,7,1267
盆,7,1654
眉,7,2177
盾,7,1476
冒,7,1317
砕,7,1579
窃,7,1871
糾,7,1820
耐,7,1295
臭,7,1760
虐,7,1464
虹,7,2110
衷,7,2229
訃,7,2379
訂,7,1690
貞,7,1389
赴,7,1649
軌,7,1480
香,7,859
俺,7,1946
倹,7,2479
倒,7,791
倣,7,2454
俸,7,1834
倫,7,1322
兼,7,1164
冥,7,2349
凄,7,2313
准,7,1441
凍,7,1284
剥,7,2383
剣,7,1305
剛,7,1576
剤,7,1151
剖,7,1918
匿,7,2024
唄,7,2051
哺,7,2461
唆,7,1278
唇,7,1992
哲,7,1093
唐,7,1727
埋,7,1110
娯,7,1827
娠,7,1623
姫,7,1566
娘,7,1145
宴,7,1675
宰,7,1597
宵,7,2262
峰,7,1836
徐,7,1470
悦,7,1762
悟,7,1411
悩,7,1084
挨,7,2258
捉,7,1976
挫,7,1869
振,7,614
捜,7,592
挿,7,1908
捕,7,604
浦,7,977
浸,7,1447
浜,7,645
浮,7,776
涙,7,1381
浪,7,1508
華,7,1085
逝,7,2018
逐,7,2230
逓,7,1957
途,7,717
透,7,1035
陥,7,1154
陣,7,828
恣,7,2325
恐,7,878
恵,7,925
恥,7,1575
恋,7,1296
恭,7,1737
扇,7,1805
拳,7,1935
敏,7,1042
脇,7,1806
脊,7,2299
脅,7,1183
脂,7,1548
朕,7,-1
胴,7,1904
桁,7,-1
核,7,475
桑,7,1650
栽,7,1496
桟,7,2093
栓,7,2199
桃,7,1784
殊,7,1361
殉,7,2080
烈,7,1397
珠,7,1711
祥,7,1273
泰,7,1281
畝,7,2327
畜,7,1824
畔,7,2049
疾,7,1577
症,7,1111
疲,7,1263
眠,7,1315
砲,7,1268
称,7,985
租,7,2089
秩,7,1275
袖,7,1960
被,7,431
既,7,1081
粋,7,1768
索,7,1127
紛,7,994
紡,7,1876
紋,7,1519
翁,7,2064
耗,7,-1
致,7,870
般,7,649
蚊,7,2121
衰,7,1432
託,7,1021
貢,7,956
軒,7,1416
辱,7,1769
酎,7,-1
酌,7,2271
釜,7,1761
隻,7,1546
飢,7,1659
鬼,7,1557
竜,7,1195
曹,7,1998
乾,7,1453
偽,7,1171
偶,7,1602
偵,7,1857
偏,7,1340
剰,7,1448
勘,7,1494
唾,7,-1
喝,7,1858
啓,7,1403
唯,7,1292
埼,7,971
堆,7,2184
執,7,800
培,7,1431
婚,7,767
婆,7,2435
寂,7,1599
尉,7,2007
崖,7,-1
崎,7,533
崇,7,1970
崩,7,778
庶,7,1558
庸,7,2038
彩,7,1251
彫,7,1533
惧,7,2097
惨,7,1463
惜,7,1641
悼,7,1645
捻,7,-1
捗,7,-1
掛,7,1027
掘,7,1257
掲,7,899
控,7,1000
据,7,1468
措,7,818
掃,7,1255
排,7,1047
描,7,876
堀,7,1285
淫,7,-1
涯,7,1525
渇,7,1944
渓,7,2063
渋,7,1011
淑,7,1922
渉,7,499
淡,7,1436
添,7,1501
涼,7,1783
猫,7,1702
猛,7,1301
猟,7,1851
葛,7,1547
萎,7,-1
菓,7,1719
菊,7,1287
菌,7,1586
逸,7,1524
逮,7,766
郭,7,1670
陰,7,1393
陳,7,1323
陶,7,1680
陪,7,1917
隆,7,1109
陵,7,1746
患,7,796
悠,7,1921
戚,7,-1
斜,7,1504
斬,7,2132
旋,7,1801
曽,7,1320
脚,7,1228
脱,7,782
梗,7,-1
梨,7,1331
殻,7,1892
爽,7,2333
瓶,7,1528
痕,7,1958
盗,7,1051
眺,7,1726
窒,7,1776
符,7,1798
粗,7,1689
粘,7,1410
粒,7,1635
紺,7,1825
紹,7,963
紳,7,1790
累,7,1662
羞,7,-1
粛,7,1549
舷,7,-1
舶,7,1753
虚,7,1454
蛍,7,2031
蛇,7,1721
袋,7,1125
訟,7,1061
豚,7,1864
貪,7,-1
貫,7,1156
販,7,627
赦,7,1868
軟,7,1269
酔,7,1640
釈,7,1097
釣,7,1542
頃,7,2015
鹿,7,957
麻,7,1142
斎,7,1155
亀,7,1353
僅,7,-1
偉,7,1639
傍,7,1660
募,7,809
傘,7,1694
喉,7,2390
喩,7,-1
喚,7,1120
喫,7,1347
喪,7,885
圏,7,1216
堪,7,1953
堅,7,1049
堕,7,2087
塚,7,869
堤,7,1658
塔,7,1708
塀,7,1991
塁,7,651
奥,7,1018
媛,7,1735
媒,7,1900
婿,7,2099
尋,7,1398
嵐,7,1910
項,7,884
幅,7,641
帽,7,1742
幾,7,1725
廃,7,698
廊,7,1598
弾,7,853
御,7,1087
循,7,1699
慌,7,1826
惰,7,2336
愉,7,1974
握,7,1003
援,7,312
換,7,687
搭,7,1472
揚,7,1316
揺,7,1079
湧,7,2070
渦,7,1789
滋,7,1563
湿,7,1517
渡,7,446
湾,7,545
猶,7,1799
葬,7,754
遇,7,1343
遂,7,1423
遅,7,833
遍,7,1845
隅,7,1601
随,7,1396
惑,7,777
扉,7,1866
掌,7,1757
敢,7,1859
斑,7,2165
暁,7,1924
晶,7,1613
替,7,979
普,7,757
腕,7,1163
椅,7,2245
椎,7,1911
棺,7,2161
棋,7,1311
棚,7,1594
棟,7,1406
款,7,1854
欺,7,1541
殖,7,1362
煮,7,1565
焦,7,973
琴,7,1591
畳,7,1665
疎,7,1572
痩,7,-1
痘,7,-1
痢,7,2037
硬,7,1101
硝,7,2154
硫,7,1867
裕,7,1048
筒,7,1631
粧,7,1545
絞,7,1288
紫,7,1516
絡,7,806
蛮,7,2339
裂,7,1041
詠,7,2000
詐,7,1511
詔,7,2239
診,7,1019
訴,7,427
貼,7,2444
越,7,897
超,7,597
距,7,1191
軸,7,1261
酢,7,1955
鈍,7,1574
閑,7,1994
雇,7,975
雄,7,669
雰,7,1341
須,7,1339
傲,7,-1
傾,7,938
傑,7,1926
債,7,728
催,7,536
僧,7,1724
勧,7,1068
嗅,7,2480
嗣,7,2310
嘆,7,1584
塞,7,-1
填,7,-1
毀,7,-1
塊,7,1800
塑,7,-1
塗,7,1414
奨,7,1445
嫉,7,2317
嫁,7,1581
嫌,7,1207
寛,7,1377
寝,7,1034
廉,7,2066
彙,7,-1
微,7,1108
慄,7,-1
慨,7,1875
慎,7,999
携,7,1017
搾,7,2046
摂,7,1779
搬,7,1664
溺,7,-1
滑,7,1238
溝,7,1736
滞,7,1107
滝,7,1478
漠,7,1611
滅,7,1222
溶,7,1364
猿,7,1772
蓋,7,2388
蓄,7,1260
遡,7,-1
遜,7,-1
違,7,344
遣,7,664
隙,7,-1
隔,7,1382
愚,7,1551
慈,7,1811
愁,7,2171
暇,7,1386
腎,7,1755
腫,7,2145
腺,7,-1
腰,7,1306
楷,7,-1
棄,7,901
楼,7,2173
歳,7,269
殿,7,1199
煙,7,1290
煩,7,2081
煎,7,2458
献,7,637
禍,7,2010
禅,7,1902
痴,7,1663
睦,7,1993
睡,7,1739
督,7,534
碁,7,1609
稚,7,1560
窟,7,-1
裾,7,2334
褐,7,2186
裸,7,1796
継,7,743
羨,7,-1
艇,7,1433
虞,7,-1
虜,7,1678
蜂,7,2223
触,7,904
詣,7,-1
詮,7,-1
該,7,1648
詰,7,1020
誇,7,1272
詳,7,1178
誉,7,1064
賂,7,-1
賊,7,2045
賄,7,1282
跡,7,953
践,7,1570
跳,7,1716
較,7,1172
載,7,825
酬,7,1515
酪,7,2012
鉛,7,1710
鉢,7,1890
鈴,7,880
雅,7,1192
雷,7,1491
零,7,1217
飾,7,1193
飽,7,1780
靴,7,1561
頓,7,-1
頑,7,1247
頒,7,2287
鼓,7,1795
僕,7,1236
僚,7,709
塾,7,1297
墨,7,1616
奪,7,974
嫡,7,2130
寡,7,2035
寧,7,1697
彰,7,1310
徴,7,850
憎,7,1808
慢,7,1368
摘,7,564
漆,7,1971
漸,7,2115
漬,7,1818
滴,7,2019
漂,7,1492
漫,7,1408
漏,7,1298
蔑,7,2483
遮,7,1865
遭,7,1554
隠,7,1089
慕,7,2100
暦,7,1765
膜,7,1804
概,7,1335
熊,7,1105
獄,7,1529
瑠,7,2352
瘍,7,-1
罰,7,1220
碑,7,1792
稲,7,1038
端,7,960
箸,7,2156
箋,7,-1
箇,7,-1
綻,7,-1
維,7,643
綱,7,1053
緒,7,952
網,7,1194
腐,7,1225
蜜,7,2203
誓,7,1567
誘,7,993
豪,7,1104
貌,7,-1
踊,7,1308
辣,7,-1
酵,7,1862
酷,7,1596
銃,7,1013
銘,7,1394
閥,7,1072
雌,7,1951
需,7,935
餅,7,2152
駆,7,1033
駄,7,1500
髪,7,1474
魂,7,1748
儀,7,739
勲,7,1513
舗,7,1412
嘲,7,-1
嘱,7,1903
噴,7,1270
墜,7,1466
墳,7,1822
審,7,412
寮,7,1705
履,7,1619
幣,7,1803
慶,7,1300
弊,7,1750
影,7,464
徹,7,968
憧,7,2259
憬,7,-1
憤,7,1863
撮,7,1023
撤,7,811
撲,7,1283
潰,7,-1
潟,7,1204
潤,7,1644
澄,7,1722
潜,7,1329
蔽,7,-1
遵,7,-1
遷,7,1937
慰,7,1158
憂,7,1625
慮,7,916
戯,7,1880
摯,7,2170
撃,7,473
摩,7,1252
敷,7,1212
暫,7,1112
膝,7,2320
膚,7,1679
槽,7,1809
歓,7,1065
璃,7,-1
畿,7,1683
監,7,408
盤,7,881
罵,7,2467
罷,7,2104
稽,7,2372
稼,7,1264
稿,7,1400
穂,7,1656
窮,7,1756
窯,7,2072
範,7,1088
縁,7,1291
緩,7,933
緊,7,677
締,7,797
縄,7,1075
衝,7,972
褒,7,2073
誰,7,1933
謁,7,-1
請,7,524
諾,7,1490
賭,7,1989
賜,7,2190
賠,7,1243
賓,7,1677
賦,7,-1
趣,7,1153
踪,7,-1
踏,7,723
輝,7,1259
輩,7,1365
舞,7,655
鋭,7,1395
鋳,7,2005
閲,7,1855
震,7,893
霊,7,1458
餓,7,1754
餌,7,2277
頬,7,2424
駒,7,1452
駐,7,955
魅,7,1206
黙,7,1338
儒,7,2162
凝,7,1712
壊,7,727
墾,7,-1
壌,7,1407
壇,7,1512
壁,7,1037
嬢,7,2059
憶,7,1324
懐,7,1493
憾,7,1682
擁,7,1213
濁,7,1883
濃,7,1200
獲,7,964
薫,7,1849
薪,7,2182
薦,7,1082
薄,7,1009
還,7,910
避,7,756
隣,7,1083
憩,7,1731
曇,7,1899
膳,7,2120
膨,7,1293
獣,7,1714
磨,7,1608
穏,7,1535
篤,7,1942
緻,7,2460
緯,7,1430
縛,7,1764
繁,7,1198
縫,7,1723
融,7,481
衡,7,1847
諦,7,2457
謎,7,2021
諧,7,-1
諮,7,1345
謀,7,1370
諭,7,1461
謡,7,1580
賢,7,1159
醒,7,-1
麺,7,2331
錦,7,1440
錮,7,-1
錯,7,1740
錠,7,1934
錬,7,2221
隷,7,2009
頼,7,708
骸,7,-1
償,7,854
嚇,7,2141
擬,7,1990
擦,7,1485
濯,7,1698
懇,7,1135
戴,7,2332
曖,7,-1
臆,7,-1
燥,7,1819
爵,7,-1
犠,7,1189
環,7,409
療,7,600
瞳,7,2069
瞭,7,-1
矯,7,2105
礁,7,1977
繊,7,1451
翼,7,1201
聴,7,781
謹,7,2068
謙,7,1582
謄,7,2295
購,7,945
轄,7,1771
醜,7,2074
鍵,7,2029
鍋,7,1810
鍛,7,1793
闇,7,1969
霜,7,2151
韓,7,445
頻,7,1590
鮮,7,355
齢,7,770
濫,7,-1
藤,7,291
藍,7,2043
藩,7,1896
懲,7,1303
璧,7,-1
癖,7,1973
癒,7,1667
瞬,7,1265
礎,7,1224
穫,7,1642
襟,7,2030
糧,7,1354
繕,7,2195
繭,7,2495
翻,7,1465
覆,7,1378
贈,7,1001
鎌,7,1587
鎖,7,1250
鎮,7,1617
闘,7,751
顎,7,-1
顕,7,1536
騎,7,1696
騒,7,1069
瀬,7,1152
藻,7,2124
爆,7,735
璽,7,-1
羅,7,1831
簿,7,1358
繰,7,872
艶,7,2207
覇,7,1173
譜,7,1919
蹴,7,2377
離,7,555
霧,7,1747
韻,7,2148
髄,7,1652
鯨,7,1486
鶏,7,1901
麓,7,2366
麗,7,1758
懸,7,889
欄,7,1523
籍,7,907
譲,7,984
醸,7,1838
鐘,7,1681
響,7,502
騰,7,1420
艦,7,1363
躍,7,900
露,7,928
顧,7,1058
魔,7,1514
鶴,7,1369
籠,7,-1
襲,7,1130
驚,7,1141
鑑,7,1391
鬱,7,-1
